'This is a confirmation email for your order ::order_no for next ::timeline placed with us. The invoice for the same is attached at the end of this email.','ORDERCONFIRM_LINE'
'Your renewal order ::order_no for next ::timeline was successful. We are now working on it.','ORDERCONFIRM_LINE'
'We have received your renewal order ::order_no for next ::timeline  and are currenly processing it.','ORDERCONFIRM_LINE'
'Your renewal order ::order_no for next ::timeline placement was successful and is now under process.','ORDERCONFIRM_LINE'
'The renewal order ::order_no for next ::timeline you placed has been accepted and is being completed.','ORDERCONFIRM_LINE'
'As per our telephonic convesation, Your renewal order invoice ::order_no for next ::timeline has been generated and attached at the bottom of this email.','ORDERCONFIRM_LINE'
'Your renewal order for next ::timeline invoice ::order_no has been generated. Please find the PDF Document attached at the end of this email.','ORDERCONFIRM_LINE'
'This is to let you know that as per our verbal communication, your renewal order ::order_no for next ::timeline is confirmed and will be completed soon.','ORDERCONFIRM_LINE'
'As by requested by you, we have confirmed your renewal order ::order_no for next ::timeline. We are hoping it will be activated soon. Please find the invoice on attachement.','ORDERCONFIRM_LINE'
'This is a confirmation email for your renewal order ::order_no for next ::timeline placed with us. The invoice for the same is attached at the end of this email.','ORDERCONFIRM_LINE'
